title,price,href,address,year,content,area
"2-комнатная квартира, Жетысу-2 мкр-н, 57",35500000,/obyavleniya/prodazha-kvartiry-60.4m-v-almaty-3090284/,"['Жетысу-2 мкр-н', '57']",1996,"панельный. Встроенная кухня, кондиционер, новая сантехника, пластиковые окна, тихий двор.  Квартира в хорошем районе, не угловая, тёплая, отличное расположения дома, развитая...",60.4
"1-комнатная квартира, Маркова, 49",25000000,/obyavleniya/prodazha-kvartiry-40m-v-almaty-3090282/,"['Маркова', '49']",1970,"кирпичный. Кондиционер, улучшенная, пластиковые окна, кухня-студия, тихий двор.  Продаю квартиру на 4 этаже, улучшенную, сейсмоустойчивость высокая, сделанная по японской...",40
"1-комнатная квартира, Пушкина, 25",25500000,/obyavleniya/prodazha-kvartiry-32.1m-v-almaty-3090283/,"['Пушкина', '25']",1984,"панельный. Тёплая, уютная однокомнатная квартира в хорошем районе.  Имеется магазины, рядом базар, остановки.  Санузел раздельный, пластиковые окна, в доме есть: открытый двор,...",32.1
"2-комнатная квартира, Орбита-3 мкр-н, 52",24900000,/obyavleniya/prodazha-kvartiry-33m-v-almaty-3090281/,"['Орбита-3 мкр-н', '52']",1979,"кирпичный. Площадь указана по техническому паспорту.  Квартира двухкомнатная:  первая комната - гостиная с кухней-студией, кухонная зона вынесена на лоджию;  вторая комната - из...",33
"1-комнатная квартира, Думан-2 мкр-н, 1",24900000,/obyavleniya/prodazha-kvartiry-52.6m-v-almaty-3090279/,"['Думан-2 мкр-н', '1']",2013,"ЖК Меркур Град, монолитный. Продается замечательная квартира, в перспективном районе. Дом был построен в 2013 году. Квартира очень теплая, не угловая, так же установлены...",52.6
"3-комнатная квартира, Аксай-5 мкр-н, 13",35000000,/obyavleniya/prodazha-kvartiry-69m-v-almaty-3090280/,"['Аксай-5 мкр-н', '13']",1989,"панельный. Квартира требует ремонта. Продается без мебели и техники. Просмотр по предварительному согласованию. #6951507  Санузел раздельный, пластиковые окна, в доме есть:...",69
"1-комнатная квартира, Макатаева, 5",25500000,/obyavleniya/prodazha-kvartiry-38m-v-almaty-3090278/,"['Макатаева', '5']",2014,"монолитный. Пластиковые окна, не угловая, кухня-студия, счётчики, тихий двор.  ЖК состоит из 2-х 9-ти этажных домов, полностью огорожен - вход только через домофон или пульт,...",38
"1-комнатная квартира, Калкаман-2 мкр-н, 10",9000000,/obyavleniya/prodazha-kvartiry-22m-v-almaty-3090276/,"['Калкаман-2 мкр-н', '10']",1989,"панельный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, без лифта, косметический ремонт, также имеются: телефон, интернет, кабельное телевидение, счетчики...",22
"2-комнатная квартира, Жарокова, 7",25500000,/obyavleniya/prodazha-kvartiry-43m-v-almaty-3090277/,"['Жарокова', '7']",1978,"панельный. Санузел совмещенный, пластиковые окна, в доме есть: детская площадка, открытый двор, наземный паркинг, без лифта, косметический ремонт, также имеются: телефон, интернет,...",43
"1-комнатная квартира, Кунаева, 25",25500000,/obyavleniya/prodazha-kvartiry-38.2m-v-almaty-3090274/,"['Кунаева', '25']",1979,"монолитный. В продаже квартира в самом элитном районе Алматы. Все самое нужное находится в шаговой доступности: Зеленый Базар, т.д. Мерей, Magnum, Аптеки, школы. По документам 1...",38.2
title,price,href,address,year,content,area
"4-комнатная квартира, Сатпаева - Бухар Жырау",85000000,/obyavleniya/prodazha-kvartiry-121m-v-almaty-3089113/,['Сатпаева\xa0- Бухар Жырау'],2006,"монолитный. Продается 3-комнатная квартира в ЖК Тенгиз Тауэрс. На территории жилого комплекса предусмотрены спортивные сооружения, детские игровые площадки, зоны тихого отдыха....",121
"2-комнатная квартира, Гагарина, 233",43000000,/obyavleniya/prodazha-kvartiry-53.41m-v-almaty-3073676/,"['Гагарина', '233']",2021,"ЖК Terra, монолитный. Продается 2-комнатная квартира 54 кв.м с кухней-студией в свежей новостройке Бостандыкского района, по улице Гагарина.     Удачная планировка, которая...",53.41
"2-комнатная квартира, Самал-2 мкр-н, 46 - Мендикулова",35000000,/obyavleniya/prodazha-kvartiry-60.5m-v-almaty-3089607/,"['Самал-2 мкр-н', '46\xa0- Мендикулова']",1989,"кирпичный. Не угловая.  Уважаемые товарищи, обращаем ваше внимание на комфортное жилье в легендарном микрорайоне самал-2 на улице Мендикулова. Лучший район города с...",60.5
"2-комнатная квартира, Ладушкина - Кашгарская",43950000,/obyavleniya/prodazha-kvartiry-68m-v-almaty-3090294/,['Ладушкина\xa0- Кашгарская'],2008,"ЖК Зеленая Долина (Коттеджный городок), монолитный. Услуги агентства оплачивает продавец квартиры. С покупателей комиссию не берём.    Квартира в одном из фешенебельных районов, в...",68
"2-комнатная квартира, Казахфильм мкр-н, 26",27000000,/obyavleniya/prodazha-kvartiry-45m-v-almaty-3090288/,"['Казахфильм мкр-н', '26']",1977,"панельный. Перепланировка не узаконена! Только нал.  Санузел совмещенный, пластиковые окна, в доме есть: открытый двор, гостевой паркинг, без лифта, косметический ремонт, также...",45
"1-комнатная квартира, 6 мкр-н, 35",20500000,/obyavleniya/prodazha-kvartiry-32m-v-almaty-3090289/,"['6 мкр-н', '35']",1967,"панельный. Квартира в хорошем состоянии, чистая, удобная расположение рядом магнум, смол, школа.  Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка...",32
"3-комнатная квартира, Казахфильм мкр-н, 51",40500000,/obyavleniya/prodazha-kvartiry-67m-v-almaty-3090287/,"['Казахфильм мкр-н', '51']",1984,"панельный. Новая сантехника, комнаты изолированы, встроенная кухня, улучшенная, кладовка, пластиковые окна, не угловая, тихий двор.  Квартира улучшенной планировки, комнаты все...",67
"2-комнатная квартира, 3 мкр-н, 6",25100000,/obyavleniya/prodazha-kvartiry-48m-v-almaty-3090285/,"['3 мкр-н', '6']",1960,"панельный. Хороший район для жилья, удобное расположение инфраструктуры.   Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, без лифта,...",48
"3-комнатная квартира, Аскарова, 3",27500000,/obyavleniya/prodazha-kvartiry-58m-v-almaty-3090286/,"['Аскарова', '3']",1965,"панельный. Экологический чистый район, Горный воздух, рядом президентский парк, гольф клуб, школа, детский сад, минимаркет, остановка, плавательная школа, Аквапарк, Магнум 2...",58
"2-комнатная квартира, Жетысу-2 мкр-н, 57",35500000,/obyavleniya/prodazha-kvartiry-60.4m-v-almaty-3090284/,"['Жетысу-2 мкр-н', '57']",1996,"панельный. Встроенная кухня, кондиционер, новая сантехника, пластиковые окна, тихий двор.  Квартира в хорошем районе, не угловая, тёплая, отличное расположения дома, развитая...",60.4
"1-комнатная квартира, Маркова, 49",25000000,/obyavleniya/prodazha-kvartiry-40m-v-almaty-3090282/,"['Маркова', '49']",1970,"кирпичный. Кондиционер, улучшенная, пластиковые окна, кухня-студия, тихий двор.  Продаю квартиру на 4 этаже, улучшенную, сейсмоустойчивость высокая, сделанная по японской...",40
"1-комнатная квартира, Пушкина, 25",25500000,/obyavleniya/prodazha-kvartiry-32.1m-v-almaty-3090283/,"['Пушкина', '25']",1984,"панельный. Тёплая, уютная однокомнатная квартира в хорошем районе.  Имеется магазины, рядом базар, остановки.  Санузел раздельный, пластиковые окна, в доме есть: открытый двор,...",32.1
"2-комнатная квартира, Орбита-3 мкр-н, 52",24900000,/obyavleniya/prodazha-kvartiry-33m-v-almaty-3090281/,"['Орбита-3 мкр-н', '52']",1979,"кирпичный. Площадь указана по техническому паспорту.  Квартира двухкомнатная:  первая комната - гостиная с кухней-студией, кухонная зона вынесена на лоджию;  вторая комната - из...",33
"1-комнатная квартира, Думан-2 мкр-н, 1",24900000,/obyavleniya/prodazha-kvartiry-52.6m-v-almaty-3090279/,"['Думан-2 мкр-н', '1']",2013,"ЖК Меркур Град, монолитный. Продается замечательная квартира, в перспективном районе. Дом был построен в 2013 году. Квартира очень теплая, не угловая, так же установлены...",52.6
"3-комнатная квартира, Аксай-5 мкр-н, 13",35000000,/obyavleniya/prodazha-kvartiry-69m-v-almaty-3090280/,"['Аксай-5 мкр-н', '13']",1989,"панельный. Квартира требует ремонта. Продается без мебели и техники. Просмотр по предварительному согласованию. #6951507  Санузел раздельный, пластиковые окна, в доме есть:...",69
"1-комнатная квартира, Макатаева, 5",25500000,/obyavleniya/prodazha-kvartiry-38m-v-almaty-3090278/,"['Макатаева', '5']",2014,"монолитный. Пластиковые окна, не угловая, кухня-студия, счётчики, тихий двор.  ЖК состоит из 2-х 9-ти этажных домов, полностью огорожен - вход только через домофон или пульт,...",38
"1-комнатная квартира, Калкаман-2 мкр-н, 10",9000000,/obyavleniya/prodazha-kvartiry-22m-v-almaty-3090276/,"['Калкаман-2 мкр-н', '10']",1989,"панельный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, без лифта, косметический ремонт, также имеются: телефон, интернет, кабельное телевидение, счетчики...",22
"2-комнатная квартира, Жарокова, 7",25500000,/obyavleniya/prodazha-kvartiry-43m-v-almaty-3090277/,"['Жарокова', '7']",1978,"панельный. Санузел совмещенный, пластиковые окна, в доме есть: детская площадка, открытый двор, наземный паркинг, без лифта, косметический ремонт, также имеются: телефон, интернет,...",43
"1-комнатная квартира, Кунаева, 25",25500000,/obyavleniya/prodazha-kvartiry-38.2m-v-almaty-3090274/,"['Кунаева', '25']",1979,"монолитный. В продаже квартира в самом элитном районе Алматы. Все самое нужное находится в шаговой доступности: Зеленый Базар, т.д. Мерей, Magnum, Аптеки, школы. По документам 1...",38.2
title,price,href,address,year,content,area
"1-комнатная квартира, Калкаман-2 мкр-н, 10",7500000,/obyavleniya/prodazha-kvartiry-17.5m-v-almaty-3090275/,"['Калкаман-2 мкр-н', '10']",1986,"кирпичный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, без лифта, косметический ремонт, также имеются: телефон, интернет, кабельное...",17.5
"3-комнатная квартира, Егизбаева, 7",57000000,/obyavleniya/prodazha-kvartiry-86m-v-almaty-3090273/,"['Егизбаева', '7']",2016,"монолитный. Кладовка, кондиционер, пластиковые окна.  Квартира в идеальном состоянии! Полноценная 3-х комнатная квартира с отдельной кухней, залом, 2 спальными комнатами, балконом...",86
"1-комнатная квартира, Шевченко, 85",18500000,/obyavleniya/prodazha-kvartiry-25m-v-almaty-3090272/,"['Шевченко', '85']",2019,"монолитный. Пластиковые окна, удобно под коммерцию, не угловая, улучшенная, новая сантехника, кладовка, счётчики, тихий двор.  Квартира в цоколе из нежилого помещения, только что...",25
"3-комнатная квартира, Розыбакиева, 23",35500000,/obyavleniya/prodazha-kvartiry-73.7m-v-almaty-3090271/,"['Розыбакиева', '23']",1989,"панельный. Пластиковые окна, улучшенная, комнаты изолированы, кладовка, удобно под коммерцию.  Санузел раздельный, пластиковые окна, в доме есть: открытый двор, наземный паркинг,...",73.7
"2-комнатная квартира, 2 мкр-н, 40",32500000,/obyavleniya/prodazha-kvartiry-52m-v-almaty-3090269/,"['2 мкр-н', '40']",2017,"монолитный. Санузел совмещенный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, лифт пассажирский, лифт грузовой, косметический ремонт, также имеются: телефон,...",52
"3-комнатная квартира, Омаровой, 37",65650000,/obyavleniya/prodazha-kvartiry-76m-v-almaty-3090270/,"['Омаровой', '37']",2018,"монолитный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для занятия спортом...",76
"2-комнатная квартира, Утепова, 21",24500000,/obyavleniya/prodazha-kvartiry-41.4m-v-almaty-3090268/,"['Утепова', '21']",1964,"кирпичный. Уважаемые гости южной столицы и жители города Алматы! Санузел раздельный, пластиковые окна, в доме есть: открытый двор, наземный паркинг, без лифта, косметический...",41.4
"3-комнатная квартира, Брусиловского, 167",35500000,/obyavleniya/prodazha-kvartiry-80m-v-almaty-3090266/,"['Брусиловского', '167']",2012,"панельный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для занятия спортом...",80
"1-комнатная квартира, Аль-Фараби, 144",27500000,/obyavleniya/prodazha-kvartiry-28m-v-almaty-3090267/,"['Аль-Фараби', '144']",2018,"монолитный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для занятия спортом...",28
"3-комнатная квартира, Радостовца",30000000,/obyavleniya/prodazha-kvartiry-57m-v-almaty-3090142/,['Радостовца'],1961,"панельный. Продается светлая, уютная, теплая 3-х комнатная квартира. Комфортна для проживания семьи с детьми. Ровные стены, немецкие обои, качественный ламинат, новые двери,...",57
"3-комнатная квартира, Байкодамова",75000000,/obyavleniya/prodazha-kvartiry-100m-v-almaty-3090141/,['Байкодамова'],1993,"кирпичный. Студия, 2 балкона, закрытый двор, 2 санузла  Предлагается Вашему вниманию уютная и теплая квартира в экологически чистом районе нашего города.  Квартиру оценят любители...",100
"2-комнатная квартира, Кулагер мкр-н",31500000,/obyavleniya/prodazha-kvartiry-59m-v-almaty-3090138/,['Кулагер мкр-н'],1998,"кирпичный. Изолированные комнаты, не угловая, встроенная кухня, с техникой, кондиционер, пластиковые окна, кладовая, санузел совместный, ремонт  Вашему вниманию предлагается к...",59
"1-комнатная квартира, Навои, 7",30000000,/obyavleniya/prodazha-kvartiry-54m-v-almaty-3072734/,"['Навои', '7']",2008,"ЖК Науаи, монолитный. Срочная продажа от Хозяина! Без риэлтерской комиссии!    - Светлая, уютная квартира в ЖК ""Науаи"" (Навои 7).   - Этаж 11 из 16.  - Отдельная...",54
"1-комнатная квартира, Суюнбая, 292",15500000,/obyavleniya/prodazha-kvartiry-32m-v-almaty-3090075/,"['Суюнбая', '292']",1970,"панельный. Пластиковые окна, удобно под коммерцию, не угловая, комнаты изолированы, тихий двор.  Продаём квартиру в отличном состоянии после ремонта в 16 военном городке. Светлая и...",32
"3-комнатная квартира, Таугуль-1 мкр-н, 52",55000000,/obyavleniya/prodazha-kvartiry-126m-v-almaty-3090076/,"['Таугуль-1 мкр-н', '52']",2011,"кирпичный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, лифт пассажирский, лифт грузовой, улучшенная черновая отделка, также имеются:...",126
"2-комнатная квартира, Майлина, 54",33500000,/obyavleniya/prodazha-kvartiry-67m-v-almaty-3090073/,"['Майлина', '54']",2018,"монолитный. Санузел раздельный, пластиковые окна, в доме есть: детская площадка, закрытый двор, ворота, охрана, видеонаблюдение, наземный паркинг, подземный паркинг, полуподземный...",67
"3-комнатная квартира, Сатпаева, 90",55000000,/obyavleniya/prodazha-kvartiry-81.9m-v-almaty-3090074/,"['Сатпаева', '90']",2018,"ЖК Акварель, монолитный. Предоставляю вашему вниманию улучшенную 3 комнатную квартиру в ЖК Акварель. По ЖК могу сказать что застройщик BAZIS-A. Семейный квартал «Акварель» – это...",81.9
"1-комнатная квартира, Аксай-1а мкр-н, 3",22000000,/obyavleniya/prodazha-kvartiry-34m-v-almaty-3090071/,"['Аксай-1а мкр-н', '3']",2001,"монолитный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, лифт пассажирский, косметический ремонт, также имеются: телефон, интернет,...",34
"2-комнатная квартира, Шевченко, 190",27500000,/obyavleniya/prodazha-kvartiry-50m-v-almaty-3090072/,"['Шевченко', '190']",1995,"кирпичный. Удобно под коммерцию, не угловая, улучшенная, комнаты изолированы, счётчики, тихий двор.  Квартира расположена тихий экологически чистым районе, развитие инфра структура...",50
"1-комнатная квартира, Орбита-3 мкр-н, 19",23500000,/obyavleniya/prodazha-kvartiry-34m-v-almaty-3090070/,"['Орбита-3 мкр-н', '19']",1976,"панельный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, без лифта, косметический ремонт, также имеются: телефон, интернет, кабельное...",34
"2-комнатная квартира, 7 мкр-н, 17",25000000,/obyavleniya/prodazha-kvartiry-45.5m-v-almaty-3090068/,"['7 мкр-н', '17']",1965,"панельный. Продается двухкомнатная квартира обычной планировки на втором этаже четырехэтажного панельного дома 1964 года постройки. Отличная квартира после ремонта, продается...",45.5
"2-комнатная квартира, Радостовца, 199",25500000,/obyavleniya/prodazha-kvartiry-40.9m-v-almaty-3090069/,"['Радостовца', '199']",1961,"кирпичный. Кондиционер, пластиковые окна, не угловая, новая сантехника, тихий двор.  Светлая, тёплая, с отличным ремонтом  Санузел раздельный, пластиковые окна, в доме есть:...",40.9
"4-комнатная квартира, Кенесары Хана, 54",59600000,/obyavleniya/prodazha-kvartiry-86m-v-almaty-3090066/,"['Кенесары Хана', '54']",2011,"ЖК Хан Тенгри, монолитный. Продаётся отличная 4-комнатная квартира в ЖК Хан-Тенгри 2010 года постройки. В квартире сделан капитальный евро-ремонт в 2017 году. Всё делалось...",86
"1-комнатная квартира, Аксай-4 мкр-н, 6",24000000,/obyavleniya/prodazha-kvartiry-40m-v-almaty-3090067/,"['Аксай-4 мкр-н', '6']",1988,"панельный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для занятия спортом...",40
"1-комнатная квартира, Янушкевича, 18",40400000,/obyavleniya/prodazha-kvartiry-78.4m-v-almaty-3090064/,"['Янушкевича', '18']",2007,"кирпичный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для занятия спортом...",78.4
title,price,href,address,year,content,area
"3-комнатная квартира, Досмухамедова, 101",79000000,/obyavleniya/prodazha-kvartiry-127m-v-almaty-3090065/,"['Досмухамедова', '101']",2014,"ЖК Жасмин, монолитный. Не угловая, улучшенная, комнаты изолированы, тихий двор.  Светлая уютная теплая кв! все делали для себя, все новое дорогое! очень удобное расположение! ...",127
"2-комнатная квартира, Аксай-4 мкр-н, 15",26500000,/obyavleniya/prodazha-kvartiry-52m-v-almaty-3090063/,"['Аксай-4 мкр-н', '15']",1980,"панельный. Требует капитального ремонта. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, лифт пассажирский, лифт грузовой, требует...",52
"3-комнатная квартира, Жунисова, 12",31500000,/obyavleniya/prodazha-kvartiry-65m-v-almaty-3090061/,"['Жунисова', '12']",2019,"ЖК Alma City, монолитный. Представляю вашему вниманию 3-комнатную квартиру в благоприятном районе города, в ЖК «Алма Сити». Отличный вариант для комфортного проживания. Чистый...",65
"5-комнатная квартира, Аль-Фараби, 95",211000000,/obyavleniya/prodazha-kvartiry-275m-v-almaty-3090062/,"['Аль-Фараби', '95']",2006,"монолитный. Санузел раздельный, пластиковые окна, в доме есть: закрытый двор, ворота, охрана, видеонаблюдение, подземный паркинг, лифт пассажирский, лифт грузовой, современный...",275
"1-комнатная квартира, Аксай-1а мкр-н, 3",11000000,/obyavleniya/prodazha-kvartiry-36m-v-almaty-3090060/,"['Аксай-1а мкр-н', '3']",2001,"монолитный. Продаётся квартира в перспективном районе города. Квартира улучшенной планировки, в хорошем состоянии со свежим ремонтом, полы паркет, частично меблирована, с...",36
"3-комнатная квартира, Утепова, 14",34300000,/obyavleniya/prodazha-kvartiry-58m-v-almaty-3087834/,"['Утепова', '14']",1971,"панельный. Пластиковые окна, не угловая, комнаты изолированы, новая сантехника, кладовка, счётчики, тихий двор.  Квартира в хорошем состоянии, в хорошем и спокойном районе, рядом в...",58
"3-комнатная квартира, Розыбакиева, 247",82850000,/obyavleniya/prodazha-kvartiry-110m-v-almaty-3090059/,"['Розыбакиева', '247']",2017,"ЖК Вавилон, монолитный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для...",110
"1-комнатная квартира, Орбита-4 мкр-н, 30",20500000,/obyavleniya/prodazha-kvartiry-32m-v-almaty-3090058/,"['Орбита-4 мкр-н', '30']",1977,"панельный. Дом во дворах. Окна выходят на юг. Рядом: Магнум, базар, школы, мечеть, президентский парк, Мега центр, три школы (казахские и русские).  Есть все для комфортного...",32
"2-комнатная квартира, Кенесары Хана, 83",24500000,/obyavleniya/prodazha-kvartiry-42m-v-almaty-3090056/,"['Кенесары Хана', '83']",2016,"монолитный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для занятия спортом...",42
"1-комнатная квартира, Егизбаева, 7",29500000,/obyavleniya/prodazha-kvartiry-40m-v-almaty-3090057/,"['Егизбаева', '7']",2015,"монолитный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для занятия спортом...",40
"2-комнатная квартира, Богенбай батыра, 272",15000000,/obyavleniya/prodazha-kvartiry-32m-v-almaty-3090054/,"['Богенбай батыра', '272']",1982,"панельный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для занятия спортом...",32
"1-комнатная квартира, Райымбека, 481",20500000,/obyavleniya/prodazha-kvartiry-34.1m-v-almaty-3090055/,"['Райымбека', '481']",2018,"монолитный. Пластиковые окна, не угловая, кухня-студия, встроенная кухня, новая сантехника, счётчики, тихий двор.  Продам квартиру с отличным качественным ремонтом! Квартира...",34.1
"3-комнатная квартира, 12 мкр-н, 11",24500000,/obyavleniya/prodazha-kvartiry-60m-v-almaty-3090053/,"['12 мкр-н', '11']",1968,"панельный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, без лифта, косметический ремонт, также имеются: телефон, интернет, кабельное...",60
"3-комнатная квартира, Байкадамова - Розыбакиева",75000000,/obyavleniya/prodazha-kvartiry-100m-v-almaty-3089877/,['Байкадамова\xa0- Розыбакиева'],1993,"кирпичный. 2 балкона, застекленный балкон, пластиковые окна, изолированные комнаты, перепланировка, не угловая, панорамный вид, солнечная сторона, чистовая отделка, закрытый двор,...",100
"1-комнатная квартира, Кайрат п., 157/1 - Рыскулова",19500000,/obyavleniya/prodazha-kvartiry-40.54m-v-almaty-3089839/,"['Кайрат п.', '157/1\xa0- Рыскулова']",2021,"ЖК Парасат, монолитный. Лоджия, не угловая, застекленная лоджия, пластиковые окна, панорамный вид, чистовая отделка, встроенная кухня, с техникой, закрытый двор, санузел...",40.54
"2-комнатная квартира, Джандосова, 94а",23000000,/obyavleniya/prodazha-kvartiry-44.5m-v-almaty-3034212/,"['Джандосова', '94а']",2022,"ЖК Rams City, монолитный. Не угловая, панорамный вид, солнечная сторона, черновая отделка    ЖК Rams City. Перспективный район. Свободная планировка. Рассрочка на 36 месяцев без...",44.5
"2-комнатная квартира, Толе би, 189/3 - Жарокова",23088000,/obyavleniya/prodazha-kvartiry-48.1m-v-almaty-3037840/,"['Толе би', '189/3\xa0- Жарокова']",2023,"ЖК Nomad, монолитный. Студия, не угловая, панорамный вид, солнечная сторона, черновая отделка, закрытый двор.    ЖК Nomad-2  ▪️ Дом комфорт класса.  ▪️ Высота потолков 2.7 м.  ▪️...",48.1
"2-комнатная квартира, Толе би, 189/3 - Жарокова",25425000,/obyavleniya/prodazha-kvartiry-56.5m-v-almaty-3037841/,"['Толе би', '189/3\xa0- Жарокова']",2023,"ЖК Nomad, монолитный. Изолированные комнаты, панорамный вид, не угловая, солнечная сторона, черновая отделка, 2 санузла, без балкона, закрытый двор.    ЖК Nomad-2  ▪️ Дом комфорт...",56.5
"3-комнатная квартира, Толе би, 189/3 - Жарокова",43344000,/obyavleniya/prodazha-kvartiry-90.3m-v-almaty-3037844/,"['Толе би', '189/3\xa0- Жарокова']",2023,"ЖК Nomad, монолитный. Панорамный вид, не угловая, солнечная сторона, черновая отделка, 2 санузла, без балкона, закрытый двор.    ЖК Nomad-2  ▪️ Дом комфорт класса.  ▪️ Высота...",90.3
"2-комнатная квартира, Джандосова, 94а",23000000,/obyavleniya/prodazha-kvartiry-44.5m-v-almaty-3037849/,"['Джандосова', '94а']",2022,"ЖК Rams City, монолитный. Не угловая, панорамный вид, солнечная сторона, черновая отделка, без балкона.      Сдача 4 квартал 2022 года.  Ипотека без доп. залога.  Рассрочка на 24...",44.5
"2-комнатная квартира, Джандосова, 94а",26551070,/obyavleniya/prodazha-kvartiry-54m-v-almaty-3037850/,"['Джандосова', '94а']",2022,"ЖК Rams City, монолитный. Студия, не угловая, панорамный вид, солнечная сторона, без балкона, гардеробная.    ЖК Rams City/Рамс Сити.    Сдача 4 квартал 2022 года.    Ипотека без...",54
"3-комнатная квартира, Джандосова, 94а",52218238,/obyavleniya/prodazha-kvartiry-107m-v-almaty-3037851/,"['Джандосова', '94а']",2022,"ЖК Rams City, монолитный. Изолированные комнаты, не угловая, панорамный вид, солнечная сторона, черновая отделка.    ЖК Rams City. Сдача 4 квартал 2022 года.    Ипотека без доп....",107
